figure_id,product,local_path,visible_page_or_state,supported_claims,unsupported_claims,related_persona,related_task,related_drawback,report_usage,caption
F2-E17,FIFA,capture-work\fifa\mobile\fifa-49-match-centre-mobile.png,"Mobile Match Centre with compact header, gender control, match groups, latest results, load-more control, and long footer.",Mobile fixture checking; long vertical task surface.,Open filter menu or measured scroll effort.,F-P1,FR-T1,F-D5,UserResearch evidence appendix; traceability source,"Mobile Match Centre showing grouped matches, latest results, and a long vertical continuation."
F2-E18,FIFA,capture-work\fifa\mobile\fifa-51-tickets-mobile.png,"Mobile Tickets and Hospitality page with stacked cards, horizontal carousels, news, and footer.",Narrow-screen ticket discovery; card-based selection and long continuation.,Unified status dashboard; waiting room; partner redirect.,F-P3,FR-T3,F-D4,UserResearch evidence appendix; traceability source,"Mobile Tickets and Hospitality page showing stacked ticket cards, tournament carousels, ticket news, and long vertical continuation."
F2-E19,FIFA,capture-work\fifa\mobile\fifa-50-article-mobile.png,"Mobile ticketing article with header, hero, body content separated by a long sparse interval, related topics, and footer.",Little persistent task continuation; long mobile reading surface.,Full article comprehension or universal loading defect.,F-P2; F-P3,FR-T2; FR-T3,F-D5,UserResearch appendix; UserAnalysis secondary,Mobile ticketing article showing a long reading surface with a sparse interval and no persistent task-utility control in the captured state.
F2-E20,FIFA,capture-work\fifa\mobile\fifa-52-fifa-plus-entry-mobile.png,Mobile FIFA+ entry route with assistant-referee flag and error or unavailable-state message.,Mobile entry failure in the captured state.,Normal FIFA+ mobile landing page.,F-P3,FR-T4,F-D2,UserResearch evidence appendix; traceability source,Mobile FIFA+ entry route showing an assistant-referee flag and an unavailable-state message.
C2-E01,Chess.com,capture-work\chess\desktop\chess-01-homepage-desktop.png,"Long homepage with persistent left navigation, Play hero, Lessons, Bots, Puzzles, Watch, app promotion, and footer.",Feature-rich entry; recognition of categories; many first-level routes; long scan.,A user preference for the whitespace.,C-P1; C-P3,CR-T1; CR-T2; CR-T3,C-D1,UserResearch evidence appendix; traceability source,Chess.com homepage showing persistent navigation and repeated task-entry sections across a long page.
C2-E02,Chess.com,capture-work\chess\desktop\chess-05-play-entry.png,"Play entry with board, clocks, time control, Start Game, Custom Challenge, Play a Friend, Tournaments, navigation, and advertisement.",Direct board mental model; fast-play options; competing controls and advertising.,Active game in progress.,C-P1; C-P2; C-P3,CR-T1,C-D1,UserResearch evidence appendix; traceability source,"Chess.com Play entry showing a board, clocks, time control, game-start options, navigation, and advertising."
C2-E03,Chess.com,capture-work\chess\desktop\chess-07-custom-game-settings.png,"Skill-level modal over the Play page with Sign Up, Log In, and Play as a Guest.",Account/onboarding interruption; skill-level setup decision.,A completed custom-game configuration.,C-P1,CR-T1,C-D1,UserResearch evidence appendix; traceability source,Play entry showing a skill-level onboarding modal with account and guest continuation choices.
C2-E04,Chess.com,capture-work\chess\desktop\chess-10-bot-game.png,"Bot-selection page with board preview, bot categories and levels, options, Play button, navigation, and advertisement.",Many choices before bot play; category and difficulty structure.,Active game; move feedback; premove; Focus Mode.,C-P1; C-P3,CR-T1,C-D1,UserResearch evidence appendix; traceability source,"Chess.com bot-selection page showing category lists, bot choices, board preview, options, and Play control."
C2-E05,Chess.com,capture-work\chess\desktop\chess-19-puzzle-landing.png,"Puzzle board with move context, progression map, Solve Puzzles control, navigation, and advertisement.",Direct manipulation; board/progression split; ad attention competition.,Correct or incorrect result state.,C-P1; C-P3,CR-T2,C-D1,UserResearch evidence appendix; traceability source,"Chess.com puzzle entry showing a board, progression path, Solve Puzzles control, navigation, and advertising."
C2-E06,Chess.com,capture-work\chess\desktop\chess-20-puzzle-before-move.png,Puzzle board with highlighted move context and progression map.,Move affordance and immediate action state.,Correct or incorrect result.,C-P1,CR-T2,C-D1,UserResearch evidence appendix; traceability source,Puzzle entry showing a candidate action state beside the progression path before a verified result.
C2-E07,Chess.com,capture-work\chess\desktop\chess-24-lessons-landing-loaded.png,"Lessons page with category tabs, upgrade messaging, learning rank, ads, app promotion, long course list, pagination, and footer.",Multiple learning categories; paid messaging and ads near learning content; long course list.,A specific lesson completed or premium entitlement interruption.,C-P1; C-P3,CR-T3,C-D1,UserResearch evidence appendix; traceability source,"Lessons landing page showing categories, upgrade messaging, ads, a long course list, and pagination."
C2-E08,Chess.com,capture-work\chess\desktop\chess-26-learn-page.png,"Learn-to-Play board with progressive lesson path, prompt, and Next Lesson control.",Progressive guided-learning pattern; clear next action.,Measured learning improvement.,C-P1,CR-T3,C-D1,UserResearch evidence appendix; traceability source,"Learn-to-Play page showing a board, progressive lesson path, explanatory prompt, and clear Next Lesson action."
C2-E09,Chess.com,capture-work\chess\desktop\chess-27-study-plan.png,"Long article titled Chess Study Plans for All Levels with navigation, article content, comments, and related content.",Study guidance exists as content rather than a unified personalized dashboard.,A verified personalized learning path.,C-P1; C-P3,CR-T3,C-D1,UserResearch evidence appendix; traceability source,"Chess Study Plans article showing level-based guidance, related content, and a long comments section."
C2-E10,Chess.com,capture-work\chess\desktop\chess-29-analysis-board.png,"Analysis entry board with Set Up Position, Explore, Game Search, Game Collections, import/upload options, and Start Analysis.",Advanced entry exposes several paths and controls.,Completed review; engine lines; chart; classifications; beginner explanation.,C-P1; C-P3,CR-T4,C-D2,UserResearch evidence appendix; traceability source,Chess.com Analysis entry showing multiple setup and import paths beside a board and Start Analysis control.
C2-E11,Chess.com,capture-work\chess\desktop\chess-53-ad-panel-natural.png,Homepage-like content; no unambiguous high-salience advertisement is visible in the inspected pixels.,Homepage task hierarchy only.,Advertising competition unless an ad is visibly identifiable.,C-P1,CR-T1; CR-T3,C-D1,UserResearch evidence appendix; traceability source,Restricted evidence: this inspected capture does not provide unambiguous proof of an advertising panel.
C2-E12,Chess.com,capture-work\chess\mobile\chess-03-homepage-mobile.png,"Mobile homepage with hamburger icon, Sign Up and Log In, stacked Play, Lessons, Bots, Puzzles, Watch, app content, and footer.",Mobile content stacking and long vertical scanning.,Open mobile menu.,C-P1; C-P3,CR-T1; CR-T2; CR-T3,C-D1,UserResearch evidence appendix; traceability source,Mobile Chess.com homepage showing compact account controls and a long stack of task-entry sections.
C2-E13,Chess.com,capture-work\chess\mobile\chess-47-play-mobile.png,"Mobile Play entry with board, clocks, bottom task navigation, time control, Start Game, and alternative play options.",Mobile play entry and vertical continuation.,Active game.,C-P1; C-P2; C-P3,CR-T1,C-D1,UserResearch evidence appendix; traceability source,"Mobile Play entry showing a compact board, clocks, game-start controls, and alternative play routes."
C2-E14,Chess.com,capture-work\chess\mobile\chess-48-puzzle-mobile.png,Mobile puzzle progression map with coach prompt and Solve Puzzles control.,Mobile puzzle entry and progression.,Puzzle result or board interaction.,C-P1,CR-T2,C-D1,UserResearch evidence appendix; traceability source,"Mobile puzzle entry showing a progression map, prompt, and Solve Puzzles control."
C2-E15,Chess.com,capture-work\chess\mobile\chess-49-lessons-mobile.png,"Very long mobile Lessons page with categories, course cards, promotion, ranking, and footer.",Extended vertical scanning on mobile learning content.,A completed lesson or measured difficulty.,C-P1; C-P3,CR-T3,C-D1,UserResearch evidence appendix; traceability source,"Mobile Lessons page showing categories, many course cards, promotional content, and extensive vertical continuation."
C2-E16,Chess.com,capture-work\chess\mobile\chess-50-active-game-mobile.png,"Mobile bot-selection/setup page with bot identity, board preview, categories, options, and Play.",Mobile bot selection and setup.,Active game.,C-P1; C-P3,CR-T1,C-D1,UserResearch evidence appendix; traceability source,"Mobile bot-selection page showing a board preview, bot categories, options, and Play control."
